Iteration min current max
0 0 0 0
100000000 0 83 86
200000000 72 86 86
300000000 72 86 86
400000000 73 86 86
500000000 72 86 86
600000000 72 86 86
700000000 72 85 86
800000000 72 86 86
900000000 72 86 86
1000000000 73 86 86
1100000000 71 86 86
1200000000 72 86 86
1300000000 72 86 86
1400000000 71 86 86
1500000000 72 86 86
1600000000 72 85 86
1700000000 72 85 86
1800000000 71 86 86
1900000000 72 86 86
2000000000 72 83 86
2100000000 70 85 86
2200000000 73 85 86
2300000000 72 86 86
2400000000 72 85 86
2500000000 72 84 86
2600000000 72 86 86
2700000000 72 86 86
2800000000 73 86 86
2900000000 71 86 86
3000000000 72 85 86
3100000000 73 86 86
3200000000 72 86 86
3300000000 73 86 86
3400000000 72 85 86
3500000000 72 86 86
3600000000 70 85 86
3700000000 71 86 86
3800000000 72 86 86
3900000000 72 83 86
4000000000 72 85 86
4100000000 72 85 86
4200000000 71 85 86
4300000000 72 86 86
4400000000 72 86 86
4500000000 72 86 86
4600000000 72 86 86
4700000000 70 84 86
4800000000 72 85 86
4900000000 71 86 86
5000000000 71 86 86
5100000000 70 86 86
5200000000 72 85 86
5300000000 72 83 86
5400000000 72 83 86
5500000000 71 86 86
5600000000 71 86 86
5700000000 71 86 86
5800000000 70 86 86
5900000000 72 85 86
6000000000 73 84 86
6100000000 72 86 86
6200000000 73 86 86
6300000000 72 85 86
6400000000 72 85 86
6500000000 71 86 86
6600000000 71 85 86
6700000000 72 86 86
6800000000 73 86 86
6900000000 72 86 86
7000000000 73 86 86
7100000000 72 85 86
7200000000 73 86 86
7300000000 70 85 86
7400000000 73 86 86
7500000000 72 86 86
7600000000 72 86 86
7700000000 72 85 86
7800000000 71 85 86
7900000000 73 86 86
8000000000 72 86 86
8100000000 72 85 86
8200000000 72 85 86
8300000000 69 85 87
8400000000 72 84 87
8500000000 71 82 86
8600000000 70 86 99
8700000000 74 86 99
8800000000 73 86 99
8900000000 73 85 89
9000000000 73 86 99
9100000000 72 86 88
9200000000 73 85 88
9300000000 73 86 88
9400000000 72 93 95
9500000000 73 86 99
9600000000 72 98 99
9700000000 73 86 99
9800000000 73 85 99
9900000000 73 86 89
10000000000 72 84 99
10100000000 73 86 91
10200000000 72 86 95
10300000000 73 84 95
10400000000 73 85 95
10500000000 73 86 92
10600000000 71 86 95
10700000000 71 97 99
10800000000 74 86 99
10900000000 73 86 99
11000000000 73 86 89
11100000000 73 86 99
11200000000 72 86 88
11300000000 73 85 88
11400000000 73 84 88
11500000000 73 85 88
11600000000 72 86 99
11700000000 72 85 99
11800000000 74 86 99
11900000000 73 86 99
12000000000 73 86 89
12100000000 72 86 99
12200000000 73 86 99
12300000000 72 84 99
12400000000 73 86 99
12500000000 73 86 99
