Iteration min current max
0 0 0 0
100000 0 37 46
200000 28 37 46
300000 28 36 46
400000 28 40 46
500000 26 40 46
600000 29 37 43
700000 30 37 43
800000 28 37 43
900000 28 37 43
1000000 29 39 43
1100000 28 36 43
1200000 29 42 43
1300000 25 46 51
1400000 32 57 58
1500000 45 57 58
1600000 32 57 58
1700000 48 57 58
1800000 45 55 58
1900000 33 55 58
2000000 45 57 58
2100000 33 38 58
2200000 32 57 58
2300000 45 53 58
2400000 30 41 58
2500000 32 37 51
2600000 26 39 51
2700000 32 57 58
2800000 36 55 58
2900000 43 55 60
3000000 35 54 58
3100000 36 52 58
3200000 33 56 60
3300000 43 55 58
3400000 36 54 58
3500000 35 55 60
3600000 43 54 58
3700000 36 54 58
3800000 32 55 60
3900000 43 54 58
4000000 35 55 58
4100000 43 54 58
4200000 32 52 58
4300000 43 54 58
4400000 36 51 58
4500000 35 54 60
4600000 43 57 58
4700000 36 54 60
4800000 33 54 60
4900000 43 55 58
5000000 36 55 60
5100000 35 58 60
5200000 48 55 58
5300000 36 56 60
5400000 32 55 58
5500000 43 56 58
5600000 35 54 58
5700000 43 57 58
5800000 26 43 58
5900000 32 42 47
6000000 32 41 47
6100000 32 44 47
6200000 32 43 47
6300000 29 43 47
6400000 32 44 47
6500000 33 41 47
6600000 32 42 47
6700000 33 41 47
6800000 33 44 47
6900000 32 46 47
7000000 32 45 47
7100000 32 38 47
7200000 25 38 47
7300000 32 37 43
7400000 29 35 43
7500000 29 41 43
7600000 32 37 43
7700000 30 43 43
7800000 28 39 43
7900000 32 39 43
8000000 29 37 43
8100000 28 43 43
8200000 32 43 43
8300000 29 37 43
8400000 29 43 43
8500000 32 39 43
8600000 30 35 43
8700000 32 37 43
8800000 28 39 43
8900000 29 43 43
9000000 32 37 43
9100000 29 39 43
9200000 30 35 43
9300000 32 42 43
9400000 26 51 62
9500000 36 52 62
9600000 32 42 62
9700000 35 39 62
9800000 32 53 62
9900000 33 52 55
10000000 32 42 55
10100000 32 56 62
10200000 33 43 62
10300000 33 50 55
10400000 36 53 55
10500000 33 54 55
10600000 32 54 55
10700000 33 54 55
10800000 36 55 55
10900000 32 53 55
11000000 33 54 55
11100000 36 54 55
11200000 32 53 55
11300000 33 53 55
11400000 36 51 55
11500000 28 52 55
11600000 36 51 62
11700000 33 53 61
11800000 36 58 62
11900000 32 45 61
12000000 36 53 62
12100000 32 58 62
12200000 33 54 61
12300000 33 51 55
12400000 40 54 55
12500000 32 38 62
12600000 33 58 62
12700000 33 49 62
12800000 36 52 55
12900000 36 53 55
13000000 35 46 55
13100000 33 53 55
13200000 32 52 55
13300000 36 53 55
13400000 33 53 55
13500000 36 54 55
13600000 32 45 55
13700000 32 54 55
13800000 33 53 55
13900000 36 53 55
14000000 36 53 55
14100000 40 53 55
14200000 32 54 55
14300000 33 53 55
14400000 36 52 55
14500000 40 54 55
14600000 29 51 58
14700000 40 53 59
14800000 36 53 59
14900000 36 52 61
15000000 35 55 62
15100000 36 53 59
15200000 36 58 59
15300000 33 45 59
15400000 36 58 59
15500000 38 53 62
15600000 36 55 59
15700000 36 54 59
15800000 36 54 61
15900000 35 51 62
16000000 36 54 59
16100000 36 54 59
16200000 36 54 58
16300000 32 46 59
16400000 36 53 61
16500000 35 56 59
16600000 33 45 61
16700000 36 55 62
16800000 36 55 61
16900000 35 55 59
17000000 32 56 61
17100000 33 46 62
17200000 33 50 61
17300000 37 54 59
17400000 38 53 58
17500000 40 54 55
