Iteration min current max
0 0 0 0
100000 0 37 46
200000 28 44 46
300000 28 37 46
400000 28 42 46
500000 26 37 46
600000 29 37 43
700000 30 37 43
800000 28 36 43
900000 28 37 43
1000000 29 37 43
1100000 28 33 43
1200000 29 38 43
1300000 25 39 51
1400000 32 56 58
1500000 45 54 58
1600000 32 36 58
1700000 32 57 58
1800000 45 57 58
1900000 48 54 58
2000000 33 55 58
2100000 45 57 58
2200000 33 37 58
2300000 32 57 58
2400000 45 55 58
2500000 48 57 58
2600000 30 44 57
2700000 32 41 51
2800000 26 54 58
2900000 43 58 58
3000000 36 54 58
3100000 35 54 60
3200000 43 57 58
3300000 36 54 58
3400000 33 54 60
3500000 43 49 58
3600000 36 54 58
3700000 43 56 60
3800000 35 51 58
3900000 36 51 58
4000000 43 55 60
4100000 32 54 60
4200000 43 54 58
4300000 35 56 58
4400000 43 58 58
4500000 32 41 58
4600000 33 57 58
4700000 48 53 58
4800000 36 54 60
4900000 35 55 60
5000000 48 57 58
5100000 36 54 60
5200000 33 56 60
5300000 48 58 58
5400000 36 54 60
5500000 35 53 60
5600000 48 57 58
5700000 36 57 60
5800000 32 55 60
5900000 43 53 58
6000000 35 42 58
6100000 40 55 58
6200000 48 57 58
6300000 26 41 58
6400000 32 44 47
6500000 32 41 47
6600000 32 44 47
6700000 32 43 47
6800000 29 42 47
6900000 32 43 47
7000000 32 43 47
7100000 32 44 47
7200000 32 46 47
7300000 33 45 47
7400000 33 45 47
7500000 32 46 47
7600000 32 42 47
7700000 32 43 47
7800000 25 37 47
7900000 29 43 43
8000000 32 37 43
8100000 29 37 43
8200000 30 37 43
8300000 32 42 43
8400000 28 43 43
8500000 32 38 43
8600000 29 43 43
8700000 28 43 43
8800000 32 39 43
8900000 29 37 43
9000000 29 39 43
9100000 32 43 43
9200000 30 41 43
9300000 28 43 43
9400000 32 40 43
9500000 29 37 43
9600000 29 38 43
9700000 32 36 43
9800000 30 38 43
9900000 26 53 62
10000000 36 54 62
10100000 33 54 62
10200000 36 57 62
10300000 37 55 62
10400000 36 53 62
10500000 32 53 62
10600000 33 61 62
10700000 36 54 62
10800000 32 60 62
10900000 33 53 62
11000000 33 55 62
11100000 33 54 55
11200000 32 46 55
11300000 32 54 62
11400000 36 61 62
11500000 33 59 62
11600000 33 46 62
11700000 36 45 60
11800000 33 54 55
11900000 36 54 55
12000000 32 54 58
12100000 36 53 56
12200000 33 54 55
12300000 40 53 58
12400000 36 54 55
12500000 32 43 55
12600000 32 54 55
12700000 33 54 60
12800000 36 54 55
12900000 32 54 55
13000000 40 51 55
13100000 33 54 60
13200000 36 54 55
13300000 28 56 62
13400000 40 54 62
13500000 36 58 62
13600000 40 54 62
13700000 33 58 62
13800000 40 54 62
13900000 36 59 62
14000000 40 52 62
14100000 36 56 62
14200000 40 53 62
14300000 32 61 62
14400000 40 54 62
14500000 33 54 62
14600000 36 54 62
14700000 40 54 62
14800000 32 59 62
14900000 33 58 62
15000000 33 42 62
15100000 37 54 58
15200000 33 53 55
15300000 40 54 55
15400000 32 34 55
15500000 32 45 62
15600000 37 57 62
15700000 36 55 62
15800000 33 60 62
15900000 36 58 62
16000000 33 54 62
16100000 36 53 60
16200000 40 54 55
16300000 36 54 55
16400000 33 54 55
16500000 36 55 55
16600000 40 42 55
16700000 32 53 58
16800000 36 54 56
16900000 40 54 55
17000000 33 52 58
17100000 36 50 58
17200000 40 54 55
17300000 32 46 55
17400000 36 54 55
17500000 40 55 55
