Iteration min current max
0 0 0 0
100000 0 38 41
200000 32 38 41
300000 32 39 46
400000 32 38 46
500000 32 38 41
600000 32 38 38
700000 32 37 41
800000 33 38 46
900000 32 38 41
1000000 32 38 46
1100000 32 38 41
1200000 32 38 38
1300000 33 38 41
1400000 32 36 41
1500000 29 38 41
1600000 32 38 41
1700000 32 38 46
1800000 32 38 46
1900000 32 38 41
2000000 32 37 38
2100000 32 38 38
2200000 33 38 46
2300000 32 38 41
2400000 33 38 46
2500000 32 38 41
2600000 32 38 38
2700000 32 38 41
2800000 32 38 41
2900000 28 38 41
3000000 32 38 41
3100000 32 37 46
3200000 32 41 46
3300000 32 38 46
3400000 32 38 41
3500000 33 37 38
3600000 32 41 46
3700000 32 41 46
3800000 33 37 46
3900000 32 37 41
4000000 32 37 38
4100000 32 38 41
4200000 32 38 41
4300000 29 41 41
4400000 32 37 41
4500000 32 38 47
4600000 32 38 47
4700000 32 38 47
4800000 32 38 41
4900000 33 38 38
5000000 32 37 47
5100000 33 37 47
5200000 32 38 47
5300000 32 38 41
5400000 32 38 41
5500000 32 41 41
5600000 32 38 41
5700000 28 37 41
5800000 32 38 41
5900000 32 41 41
6000000 33 37 47
6100000 32 36 47
6200000 33 35 41
6300000 32 38 38
6400000 32 38 47
6500000 33 38 47
6600000 32 37 41
6700000 32 38 47
6800000 32 38 41
6900000 32 38 41
7000000 32 37 41
7100000 29 38 41
7200000 32 38 41
7300000 33 38 41
7400000 32 37 47
7500000 32 38 47
7600000 32 38 41
7700000 32 38 38
7800000 32 37 41
7900000 33 38 47
8000000 32 38 41
8100000 32 38 47
8200000 32 36 41
8300000 32 37 38
8400000 32 38 41
8500000 33 38 41
8600000 28 38 41
8700000 32 38 41
8800000 32 38 46
8900000 32 38 46
9000000 32 38 41
9100000 32 37 38
9200000 32 38 41
9300000 33 38 46
9400000 32 37 41
9500000 32 38 46
9600000 33 38 41
9700000 32 37 38
9800000 32 38 41
9900000 32 37 41
10000000 29 37 41
10100000 32 35 41
10200000 32 38 46
10300000 32 37 46
10400000 32 38 41
10500000 32 38 38
10600000 33 37 38
10700000 32 38 46
10800000 32 37 41
10900000 33 38 46
11000000 32 38 41
11100000 32 38 38
11200000 32 37 41
11300000 32 38 41
11400000 26 38 41
11500000 32 38 41
11600000 32 37 43
11700000 32 38 43
11800000 32 38 43
11900000 32 38 41
12000000 33 38 38
12100000 32 38 43
12200000 32 41 43
12300000 33 38 43
12400000 32 38 41
12500000 32 38 38
12600000 32 38 41
12700000 32 38 41
12800000 29 41 41
12900000 32 38 41
13000000 32 37 43
13100000 32 38 43
13200000 32 38 43
13300000 32 38 41
13400000 33 37 38
13500000 32 38 43
13600000 32 38 43
13700000 33 37 43
13800000 32 38 41
13900000 32 37 41
14000000 32 38 41
14100000 32 38 41
14200000 29 38 41
14300000 32 37 41
14400000 32 38 41
14500000 32 37 43
14600000 32 36 43
14700000 32 37 41
14800000 33 38 38
14900000 32 38 43
15000000 33 37 43
15100000 32 38 43
15200000 32 37 41
15300000 32 38 41
15400000 32 41 41
15500000 32 38 41
15600000 30 37 41
15700000 32 37 41
15800000 32 40 41
15900000 33 38 43
16000000 32 38 43
16100000 33 37 41
16200000 32 37 38
16300000 32 38 43
16400000 33 38 43
16500000 32 41 43
16600000 32 38 43
16700000 32 38 41
16800000 32 38 41
16900000 32 37 41
17000000 28 41 41
17100000 32 41 41
17200000 32 37 41
17300000 33 38 43
17400000 32 38 43
17500000 33 36 41
17600000 32 38 38
17700000 32 38 41
17800000 33 38 43
17900000 32 37 41
18000000 32 38 43
18100000 32 37 41
18200000 32 37 41
18300000 32 38 41
18400000 29 38 41
18500000 32 38 41
18600000 33 38 41
18700000 32 37 43
18800000 32 38 43
18900000 32 37 41
19000000 32 38 38
19100000 32 38 41
19200000 33 41 43
19300000 32 38 41
19400000 32 38 43
19500000 32 36 41
19600000 32 40 41
19700000 32 37 41
19800000 28 38 41
19900000 33 38 41
20000000 32 38 41
20100000 32 38 43
20200000 32 38 43
20300000 32 38 41
20400000 32 38 38
20500000 32 38 41
20600000 33 38 43
20700000 32 38 41
20800000 32 38 43
20900000 32 38 41
21000000 32 38 38
21100000 32 36 41
21200000 33 37 41
21300000 29 37 41
21400000 32 37 41
21500000 32 38 43
21600000 32 37 43
21700000 32 38 41
21800000 32 38 38
21900000 32 38 41
22000000 33 38 43
22100000 32 37 41
22200000 32 38 43
22300000 32 37 41
22400000 33 38 38
22500000 32 38 41
22600000 32 38 41
22700000 29 37 41
22800000 32 38 41
22900000 32 41 43
23000000 32 38 43
23100000 32 37 41
23200000 32 38 38
23300000 32 39 41
23400000 33 37 43
23500000 32 38 41
23600000 33 38 43
23700000 32 38 41
23800000 32 38 38
23900000 32 38 41
24000000 32 38 41
24100000 30 38 41
24200000 32 41 41
24300000 32 38 43
24400000 32 37 43
24500000 32 38 41
24600000 32 38 38
24700000 33 38 38
24800000 32 38 43
24900000 32 38 41
25000000 33 36 43
25100000 32 37 41
25200000 32 37 38
25300000 32 38 41
25400000 32 38 41
25500000 28 38 41
25600000 32 38 41
25700000 32 38 43
25800000 32 40 43
25900000 32 38 43
26000000 32 38 41
26100000 33 37 38
26200000 32 40 43
26300000 32 40 43
26400000 33 38 43
26500000 32 38 41
26600000 32 38 38
26700000 32 38 41
26800000 32 41 41
26900000 29 41 41
27000000 32 38 41
27100000 32 37 43
27200000 32 37 43
27300000 32 38 43
27400000 32 38 41
27500000 33 38 38
27600000 32 37 43
27700000 32 37 43
27800000 33 37 43
27900000 32 41 41
28000000 32 36 41
28100000 32 38 41
28200000 32 38 41
28300000 29 38 41
28400000 32 38 41
28500000 32 38 41
28600000 32 41 43
28700000 32 38 43
28800000 32 36 41
28900000 33 37 38
29000000 32 37 43
29100000 32 33 43
29200000 33 38 43
29300000 32 38 41
29400000 32 38 41
29500000 32 40 41
29600000 32 38 41
29700000 30 37 41
29800000 32 38 41
29900000 32 37 41
30000000 32 38 43
30100000 32 38 43
30200000 32 37 41
30300000 33 37 38
30400000 32 39 43
30500000 33 36 43
30600000 32 41 43
30700000 32 37 41
30800000 32 38 41
30900000 32 38 41
31000000 32 37 41
31100000 25 42 42
31200000 32 38 46
31300000 33 37 46
31400000 32 54 55
31500000 45 55 55
31600000 33 55 55
31700000 33 38 55
31800000 32 53 55
31900000 45 55 55
32000000 41 53 55
32100000 42 54 55
32200000 39 57 58
32300000 48 53 58
32400000 45 58 58
32500000 48 53 58
32600000 33 38 58
32700000 32 37 42
32800000 32 38 38
32900000 32 42 42
33000000 33 54 55
33100000 41 53 55
33200000 45 54 55
33300000 42 54 55
33400000 39 54 58
33500000 48 57 58
33600000 45 55 58
33700000 48 57 58
33800000 33 51 58
33900000 45 55 55
34000000 41 55 55
34100000 42 52 55
34200000 39 56 58
34300000 48 58 58
34400000 45 58 58
34500000 48 57 58
34600000 34 38 58
34700000 32 37 46
34800000 33 54 55
34900000 45 53 55
35000000 41 55 55
35100000 42 55 55
35200000 39 58 58
35300000 48 58 58
35400000 45 57 58
35500000 48 54 58
35600000 34 38 58
35700000 32 38 42
35800000 32 38 42
35900000 32 36 42
36000000 32 42 46
36100000 33 38 46
36200000 30 37 45
36300000 32 41 42
36400000 32 54 55
36500000 33 38 55
36600000 33 37 55
36700000 32 55 55
36800000 39 42 55
36900000 32 38 47
37000000 32 38 42
37100000 33 34 38
37200000 32 55 55
37300000 41 53 55
37400000 33 55 55
37500000 34 38 55
37600000 32 38 45
37700000 33 55 55
37800000 41 53 55
37900000 32 38 55
38000000 32 38 42
38100000 32 37 38
38200000 33 38 45
38300000 32 38 45
38400000 26 37 45
38500000 32 38 45
38600000 33 39 45
38700000 32 55 58
38800000 48 54 58
38900000 48 58 58
39000000 43 57 58
39100000 48 54 58
39200000 36 56 60
39300000 43 56 60
39400000 35 58 60
39500000 48 58 58
39600000 43 56 58
39700000 48 57 58
39800000 48 53 58
39900000 36 57 60
40000000 43 57 60
40100000 33 56 60
40200000 48 57 58
40300000 43 57 58
40400000 48 54 58
40500000 48 58 58
40600000 36 55 60
40700000 43 55 60
40800000 35 58 60
40900000 48 57 58
41000000 43 58 58
41100000 48 55 58
41200000 36 58 58
41300000 43 57 60
41400000 48 57 60
41500000 32 38 58
41600000 33 57 58
41700000 48 58 58
41800000 43 57 58
41900000 48 57 58
42000000 35 57 58
42100000 48 54 58
42200000 43 57 58
42300000 48 51 58
42400000 48 53 58
42500000 32 37 58
42600000 32 38 45
42700000 33 37 38
42800000 32 44 45
42900000 33 57 58
43000000 48 57 58
43100000 43 56 58
43200000 48 57 58
43300000 36 54 60
43400000 43 55 60
43500000 35 54 60
43600000 48 56 58
43700000 43 56 58
43800000 48 54 58
43900000 48 58 58
44000000 36 54 60
44100000 43 55 60
44200000 33 58 58
44300000 48 58 58
44400000 43 57 58
44500000 48 56 58
44600000 36 57 58
44700000 43 54 60
44800000 35 56 60
44900000 48 55 58
45000000 48 58 58
45100000 43 58 58
45200000 48 57 58
45300000 36 57 60
45400000 43 54 60
45500000 33 45 58
45600000 32 38 45
45700000 33 54 58
45800000 48 58 58
45900000 43 56 58
46000000 48 57 58
46100000 48 58 58
46200000 35 53 58
46300000 48 58 58
46400000 43 57 58
46500000 48 55 58
46600000 33 38 58
46700000 32 44 45
46800000 32 38 45
46900000 32 38 45
47000000 33 38 45
47100000 32 45 45
47200000 26 45 45
47300000 33 43 45
47400000 33 38 45
47500000 32 45 45
47600000 33 37 45
47700000 32 45 47
47800000 33 43 47
47900000 32 38 45
48000000 32 37 47
48100000 33 36 45
48200000 32 38 38
48300000 32 45 45
48400000 34 38 45
48500000 33 45 47
48600000 33 39 47
48700000 33 44 45
48800000 33 38 45
48900000 32 37 45
49000000 33 42 47
49100000 32 44 47
49200000 33 37 45
49300000 32 38 38
49400000 32 38 45
49500000 33 45 45
49600000 32 43 45
49700000 33 42 45
49800000 29 44 47
49900000 33 38 47
50000000 33 44 47
50100000 33 38 47
50200000 32 38 47
50300000 33 46 47
50400000 32 37 47
50500000 33 45 47
50600000 33 45 47
50700000 33 46 47
50800000 32 38 47
50900000 33 38 47
51000000 32 38 47
51100000 33 38 47
51200000 32 38 38
51300000 32 44 47
51400000 36 45 47
51500000 33 42 47
51600000 33 38 47
51700000 33 38 47
51800000 33 45 47
51900000 34 38 47
52000000 33 45 47
52100000 32 46 47
52200000 33 46 47
52300000 36 46 47
52400000 32 38 47
52500000 33 46 47
52600000 32 38 47
52700000 32 38 47
52800000 33 37 47
52900000 33 46 47
53000000 33 38 47
53100000 32 38 47
53200000 33 45 47
53300000 25 37 47
53400000 33 38 43
53500000 32 38 43
