Iteration min current max
0 0 0 0
100000 0 38 41
200000 32 39 41
300000 33 38 46
400000 32 38 46
500000 33 38 41
600000 32 38 38
700000 32 38 46
800000 33 41 46
900000 32 46 46
1000000 32 38 46
1100000 32 38 41
1200000 32 37 41
1300000 32 37 41
1400000 29 38 41
1500000 32 36 41
1600000 32 37 46
1700000 32 38 46
1800000 32 38 46
1900000 32 36 41
2000000 33 37 38
2100000 32 38 46
2200000 32 38 46
2300000 33 37 46
2400000 32 37 41
2500000 32 38 41
2600000 32 36 41
2700000 32 37 41
2800000 28 38 41
2900000 32 38 41
3000000 32 38 46
3100000 32 41 46
3200000 32 37 41
3300000 32 38 38
3400000 33 37 38
3500000 32 38 46
3600000 32 37 41
3700000 33 35 46
3800000 32 38 41
3900000 32 37 38
4000000 32 37 41
4100000 32 38 41
4200000 29 38 41
4300000 32 38 41
4400000 32 37 47
4500000 32 38 47
4600000 32 38 41
4700000 32 37 38
4800000 32 38 41
4900000 33 37 47
5000000 32 38 41
5100000 32 38 47
5200000 32 37 41
5300000 32 38 38
5400000 32 38 41
5500000 33 37 41
5600000 28 38 41
5700000 32 37 41
5800000 33 39 47
5900000 32 38 47
6000000 33 38 41
6100000 32 37 38
6200000 32 38 47
6300000 33 38 47
6400000 32 43 46
6500000 32 38 47
6600000 32 38 41
6700000 32 38 41
6800000 32 38 41
6900000 29 38 41
7000000 32 38 41
7100000 32 38 41
7200000 32 41 47
7300000 32 38 47
7400000 32 38 41
7500000 33 38 38
7600000 32 38 47
7700000 32 37 47
7800000 33 37 47
7900000 32 38 41
8000000 32 37 41
8100000 32 37 41
8200000 32 38 41
8300000 28 38 41
8400000 32 36 41
8500000 32 38 46
8600000 32 41 46
8700000 32 37 46
8800000 32 38 41
8900000 33 38 38
9000000 32 38 46
9100000 32 38 41
9200000 33 38 46
9300000 32 38 41
9400000 32 38 38
9500000 32 38 41
9600000 32 38 41
9700000 29 38 41
9800000 32 38 41
9900000 32 38 46
10000000 32 38 46
10100000 32 38 41
10200000 32 37 38
10300000 32 37 41
10400000 33 38 46
10500000 32 38 41
10600000 32 38 46
10700000 32 38 41
10800000 32 37 38
10900000 32 37 41
11000000 33 38 41
11100000 26 38 41
11200000 32 38 41
11300000 32 37 43
11400000 32 38 43
11500000 33 38 41
11600000 32 38 38
11700000 32 42 43
11800000 33 37 43
11900000 32 41 43
12000000 32 38 43
12100000 32 38 41
12200000 32 38 41
12300000 32 38 41
12400000 29 38 41
12500000 32 38 41
12600000 32 41 43
12700000 32 37 43
12800000 32 38 43
12900000 32 37 41
13000000 33 38 38
13100000 32 38 43
13200000 32 35 43
13300000 33 38 43
13400000 32 38 41
13500000 32 38 38
13600000 32 38 41
13700000 32 41 41
13800000 29 38 41
13900000 32 38 41
14000000 32 38 43
14100000 32 38 43
14200000 32 38 41
14300000 32 38 38
14400000 32 39 41
14500000 33 37 43
14600000 32 37 41
14700000 32 38 43
14800000 32 38 41
14900000 32 38 38
15000000 33 37 41
15100000 32 38 41
15200000 30 38 41
15300000 32 37 41
15400000 32 38 43
15500000 32 37 43
15600000 32 38 41
15700000 32 38 38
15800000 32 41 41
15900000 33 37 43
16000000 32 38 41
16100000 32 38 43
16200000 32 38 41
16300000 32 38 41
16400000 32 38 41
16500000 28 37 41
16600000 32 38 41
16700000 32 37 41
16800000 32 36 43
16900000 32 38 43
17000000 32 37 41
17100000 33 36 38
17200000 32 38 43
17300000 32 38 43
17400000 33 37 43
17500000 32 37 41
17600000 32 36 38
17700000 32 38 41
17800000 32 38 41
17900000 29 37 41
18000000 32 38 41
18100000 32 38 43
18200000 32 38 43
18300000 32 38 41
18400000 32 38 38
18500000 32 41 41
18600000 33 38 43
18700000 32 37 41
18800000 32 37 43
18900000 33 38 41
19000000 32 36 38
19100000 32 38 41
19200000 32 37 41
19300000 28 37 41
19400000 32 38 41
19500000 32 37 43
19600000 32 34 43
19700000 32 38 41
19800000 32 38 38
19900000 32 37 41
20000000 33 38 43
20100000 32 37 41
20200000 32 37 43
20300000 32 38 41
20400000 32 38 41
20500000 32 38 41
20600000 29 39 41
20700000 32 38 41
20800000 32 37 41
20900000 32 38 43
21000000 32 37 43
21100000 32 38 41
21200000 33 38 38
21300000 32 38 43
21400000 32 38 43
21500000 33 38 43
21600000 32 36 41
21700000 32 38 41
21800000 32 38 41
21900000 32 38 41
22000000 29 41 41
22100000 32 38 41
22200000 32 37 43
22300000 32 38 43
22400000 32 38 41
22500000 32 38 38
22600000 32 37 38
22700000 33 39 43
22800000 32 37 41
22900000 33 38 43
23000000 32 38 41
23100000 32 37 38
23200000 32 37 41
23300000 32 38 41
23400000 30 37 41
23500000 32 38 41
23600000 32 37 43
23700000 32 38 43
23800000 32 38 41
23900000 32 38 38
24000000 32 38 41
24100000 33 39 43
24200000 32 37 41
24300000 32 38 43
24400000 32 37 41
24500000 32 38 41
24600000 32 38 41
24700000 28 38 41
24800000 32 36 41
24900000 32 37 41
25000000 32 37 43
25100000 32 38 43
25200000 32 38 41
25300000 33 37 38
25400000 32 38 43
25500000 32 38 43
25600000 33 35 43
25700000 32 38 41
25800000 32 38 41
25900000 32 38 41
26000000 32 38 41
26100000 29 41 41
26200000 32 38 41
26300000 32 38 43
26400000 32 41 43
26500000 32 38 43
26600000 32 37 38
26700000 33 37 38
26800000 32 38 43
26900000 32 35 41
27000000 33 38 43
27100000 32 38 41
27200000 32 37 38
27300000 32 38 41
27400000 32 38 41
27500000 29 38 41
27600000 32 38 41
27700000 32 38 43
27800000 32 38 43
27900000 32 38 41
28000000 32 38 38
28100000 32 37 41
28200000 33 38 43
28300000 32 37 41
28400000 32 36 43
28500000 32 36 41
28600000 32 38 41
28700000 32 38 41
28800000 30 38 41
28900000 32 38 41
29000000 32 38 41
29100000 33 35 43
29200000 32 38 43
29300000 32 37 41
29400000 33 38 38
29500000 32 38 43
29600000 33 38 43
29700000 32 38 43
29800000 32 37 41
29900000 32 38 41
30000000 32 38 41
30100000 32 37 41
30200000 25 38 42
30300000 32 37 46
30400000 32 37 46
30500000 33 55 55
30600000 33 55 55
30700000 34 37 55
30800000 32 55 55
30900000 45 55 55
31000000 41 55 55
31100000 42 55 55
31200000 39 53 58
31300000 45 57 58
31400000 48 56 58
31500000 33 38 58
31600000 32 38 42
31700000 32 38 38
31800000 32 42 46
31900000 33 53 55
32000000 41 54 55
32100000 42 53 55
32200000 39 57 58
32300000 48 56 58
32400000 45 55 58
32500000 48 56 58
32600000 33 55 58
32700000 41 55 55
32800000 42 53 55
32900000 45 52 55
33000000 39 54 58
33100000 45 54 58
33200000 48 58 58
33300000 33 38 58
33400000 32 38 46
33500000 33 55 55
33600000 41 55 55
33700000 42 55 55
33800000 39 55 58
33900000 48 57 58
34000000 45 58 58
34100000 48 57 58
34200000 32 38 58
34300000 33 37 42
34400000 32 38 38
34500000 32 37 46
34600000 32 42 46
34700000 30 42 45
34800000 32 38 45
34900000 32 37 45
35000000 33 38 55
35100000 33 45 55
35200000 32 55 55
35300000 33 37 55
35400000 32 38 42
35500000 32 37 38
35600000 32 42 45
35700000 33 53 55
35800000 33 53 55
35900000 41 53 55
36000000 33 38 55
36100000 32 41 42
36200000 37 55 55
36300000 32 38 55
36400000 32 36 42
36500000 32 42 42
36600000 33 38 45
36700000 32 38 45
36800000 26 45 45
36900000 32 37 45
37000000 33 38 45
37100000 32 58 58
37200000 48 57 58
37300000 43 57 58
37400000 48 53 58
37500000 36 55 60
37600000 43 58 60
37700000 35 57 60
37800000 48 53 58
37900000 43 57 58
38000000 48 57 58
38100000 36 57 58
38200000 43 54 60
38300000 34 38 60
38400000 33 57 58
38500000 48 58 58
38600000 43 56 58
38700000 48 58 58
38800000 36 55 60
38900000 43 54 60
39000000 35 56 60
39100000 48 57 58
39200000 43 58 58
39300000 48 56 58
39400000 36 56 60
39500000 43 53 60
39600000 33 38 60
39700000 32 58 58
39800000 48 58 58
39900000 43 55 58
40000000 48 57 58
40100000 35 57 58
40200000 48 58 58
40300000 43 58 58
40400000 48 57 58
40500000 33 37 58
40600000 32 43 45
40700000 32 38 45
40800000 33 38 38
40900000 32 37 45
41000000 34 57 58
41100000 48 57 58
41200000 43 58 58
41300000 44 45 58
41400000 36 57 60
41500000 35 53 60
41600000 48 58 58
41700000 43 57 58
41800000 48 56 58
41900000 36 58 58
42000000 43 55 60
42100000 33 38 60
42200000 33 57 58
42300000 48 57 58
42400000 43 57 58
42500000 44 44 58
42600000 36 58 60
42700000 35 50 60
42800000 48 57 58
42900000 43 56 58
43000000 48 58 58
43100000 36 57 58
43200000 43 55 60
43300000 33 37 60
43400000 33 38 45
43500000 32 38 45
43600000 34 53 58
43700000 48 58 58
43800000 43 57 58
43900000 48 58 58
44000000 35 58 58
44100000 48 58 58
44200000 43 56 58
44300000 48 58 58
44400000 32 43 58
44500000 33 38 45
44600000 32 38 38
44700000 32 45 45
44800000 32 36 45
44900000 33 38 45
45000000 26 44 45
45100000 33 38 45
45200000 32 38 45
45300000 33 38 45
45400000 32 45 47
45500000 33 45 47
45600000 32 38 45
45700000 32 38 47
45800000 33 38 45
45900000 32 37 38
46000000 32 45 45
46100000 33 44 45
46200000 33 38 47
46300000 33 45 47
46400000 34 38 45
46500000 32 44 45
46600000 33 45 45
46700000 34 38 47
46800000 32 38 45
46900000 32 37 45
47000000 32 43 45
47100000 33 42 45
47200000 33 37 45
47300000 32 37 45
47400000 33 38 45
47500000 29 46 47
47600000 33 44 47
47700000 33 37 47
47800000 32 37 47
47900000 33 43 47
48000000 32 43 47
48100000 33 45 47
48200000 33 45 47
48300000 33 45 47
48400000 32 45 47
48500000 32 38 47
48600000 33 38 47
48700000 32 37 38
48800000 32 43 47
48900000 36 46 47
49000000 33 45 47
49100000 33 38 47
49200000 33 37 47
49300000 33 43 47
49400000 33 45 47
49500000 35 44 47
49600000 32 45 47
49700000 33 46 47
49800000 35 45 47
49900000 32 45 47
50000000 33 37 47
50100000 32 37 38
50200000 32 42 47
50300000 33 46 47
50400000 36 42 47
50500000 32 38 47
50600000 33 44 47
50700000 35 42 47
50800000 25 38 47
50900000 32 38 43
51000000 32 39 43
51100000 33 38 43
51200000 32 42 43
51300000 32 38 43
51400000 32 37 43
51500000 33 38 38
51600000 32 43 43
51700000 33 38 43
51800000 32 42 43
51900000 33 43 43
52000000 32 37 43
52100000 32 38 43
52200000 32 38 43
52300000 33 38 43
52400000 32 38 43
52500000 29 43 43
52600000 32 38 43
52700000 32 38 43
52800000 33 38 43
52900000 32 37 43
53000000 32 38 43
53100000 32 37 38
53200000 33 38 38
53300000 32 37 43
53400000 33 39 43
53500000 32 38 43
